item,price,store
"Apple 9.7"" iPad 2 ""B"" 16GB Wifi Tablet (Black)",179.99,Walmart
Bose QuietComfort 25 Over-Ear Noise Cancelling Headphones (Apple) - Black,189.99,Walmart
"Apple 7.9"" iPad Mini 16GB WiFi Tablet (Black/slate)",219.99,Walmart
Kuvings Masticating Slow Juicer - White/Black,224.99,Walmart
Apple 32GB iPod touch®,229.99,Walmart
"Apple Ipad 4 ""B"" 16gb Wifi Tablet",249.99,Walmart
Apple iPad Air 16GB Tablet,299.99,Walmart
"Apple 4.7"" 16GB iPhone 6 Unlocked Smartphone",329.98,Walmart
"Apple 9.7"" Touch Screen iPad 4, 32GB",329.99,Walmart
Kuvings Silent Slow Juicer - Silver,339.99,Walmart
Apple iPad Wifi Tablet 32GB,369.98,Walmart
Apple iPad Air 2 16 GB,369.99,Walmart
"Apple 5.5"" iPhone 6 + 16 GB Unlocked Smartphone",399.98,Walmart
Apple iPad Air 2 64 GB,399.98,Walmart
Apple iPhone 6 128GB,429.98,Walmart
Apple Watch Series 3 (GPS),429.99,Walmart
Apple Space Grey 32GB Wi-Fi,439,Walmart
Apple iPad Gold 32GB Wi-Fi,439,Walmart
Apple Iphone 6+ 64gb Unlocked Smartphone-grey,449.98,Walmart
Kenwood Digital Multimedia Receiver,499.99,Walmart
"Apple iPad 9.7-inch Wi-Fi, 128GB",549.99,Walmart
Apple Space Grey 128GB Wi-Fi,569,Walmart
Apple iMac,599.99,Walmart
Bose SoundTouch® 30,599.99,Walmart
Bose Wireless Music Systems,599.99,Walmart
"Apple 13.3"" Macbook Air",829.99,Walmart
Yamaha Candy Apple Satin,1699.99,Walmart
